nVehicles,simTime,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,enableReplayCheck,enableSigCheck,enableReplayAttack,enableSigCorruptAttack,txAllVehicles,replayEveryMs,txCount,rxCount,replayDrops,sigDrops,pdr,avgDelay_s,throughput_bps,scenario,file,avgDelay_ms,throughput_kbps
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,1.0,1.0,300.0,1900.0,15341.0,0.0,1691.0,0.897135,0.000662087,546140.0,Secure_Invalid,secure_invalid_seed1,0.662087,546.14
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,1.0,1.0,300.0,1900.0,15349.0,0.0,1709.0,0.897602,0.00066208,546424.0,Secure_Invalid,secure_invalid_seed2,0.66208,546.424
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,1.0,1.0,300.0,1900.0,15134.0,0.0,1702.0,0.885029,0.000662096,538770.0,Secure_Invalid,secure_invalid_seed3,0.662096,538.77
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,1.0,1.0,300.0,1900.0,15390.0,0.0,1710.0,0.9,0.000662076,547884.0,Secure_Invalid,secure_invalid_seed4,0.662076,547.884
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,1.0,1.0,300.0,1900.0,15208.0,0.0,1646.0,0.889357,0.000662085,541405.0,Secure_Invalid,secure_invalid_seed5,0.6620849999999999,541.405
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,0.0,1.0,300.0,1900.0,17032.0,0.0,0.0,0.996023,0.000662086,606339.0,Secure_Reference,secure_reference_seed1,0.662086,606.339
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,0.0,1.0,300.0,1900.0,17058.0,0.0,0.0,0.997544,0.000662081,607265.0,Secure_Reference,secure_reference_seed2,0.662081,607.265
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,0.0,1.0,300.0,1900.0,16836.0,0.0,0.0,0.984561,0.000662095,599362.0,Secure_Reference,secure_reference_seed3,0.662095,599.362
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,0.0,1.0,300.0,1900.0,17100.0,0.0,0.0,1.0,0.000662074,608760.0,Secure_Reference,secure_reference_seed4,0.662074,608.76
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,0.0,0.0,1.0,300.0,1900.0,16854.0,0.0,0.0,0.985614,0.000662087,600002.0,Secure_Reference,secure_reference_seed5,0.662087,600.002
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,0.0,1.0,300.0,1960.0,17032.0,533.0,0.0,0.965533,0.000672522,606339.0,Secure_Replay,secure_replay_seed1,0.6725220000000001,606.339
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,0.0,1.0,300.0,1960.0,17059.0,539.0,0.0,0.967063,0.000678122,607300.0,Secure_Replay,secure_replay_seed2,0.678122,607.3
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,0.0,1.0,300.0,1960.0,16836.0,537.0,0.0,0.954422,0.000672805,599362.0,Secure_Replay,secure_replay_seed3,0.672805,599.362
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,0.0,1.0,300.0,1960.0,17100.0,540.0,0.0,0.969388,0.00067229,608760.0,Secure_Replay,secure_replay_seed4,0.6722899999999999,608.76
10.0,20.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,0.0,1.0,300.0,1960.0,16855.0,518.0,0.0,0.955499,0.000678188,600038.0,Secure_Replay,secure_replay_seed5,0.678188,600.038
