initialTrust,seed,handoverCount,avgHandoverDelay_s,avgHandoverDelay_ms,fastAuthCount,fullAuthCount,rejectCount,meanEventTrust
0.2,1,2.0,0.03,30.0,0,2,0,0.161
0.2,2,2.0,0.03,30.0,0,2,0,0.161
0.2,3,2.0,0.03,30.0,0,2,0,0.161
0.2,4,2.0,0.03,30.0,0,2,0,0.161
0.2,5,2.0,0.03,30.0,0,2,0,0.161
0.4,1,2.0,0.03,30.0,0,2,0,0.361
0.4,2,2.0,0.03,30.0,0,2,0,0.361
0.4,3,2.0,0.03,30.0,0,2,0,0.361
0.4,4,2.0,0.03,30.0,0,2,0,0.361
0.4,5,2.0,0.03,30.0,0,2,0,0.361
0.6,1,2.0,0.03,30.0,0,2,0,0.5609999999999999
0.6,2,2.0,0.03,30.0,0,2,0,0.5609999999999999
0.6,3,2.0,0.03,30.0,0,2,0,0.5609999999999999
0.6,4,2.0,0.03,30.0,0,2,0,0.5609999999999999
0.6,5,2.0,0.03,30.0,0,2,0,0.5609999999999999
0.8,1,2.0,0.005,5.0,2,0,0,0.761
0.8,2,2.0,0.005,5.0,2,0,0,0.761
0.8,3,2.0,0.005,5.0,2,0,0,0.761
0.8,4,2.0,0.005,5.0,2,0,0,0.761
0.8,5,2.0,0.005,5.0,2,0,0,0.761
0.95,1,2.0,0.005,5.0,2,0,0,0.911
0.95,2,2.0,0.005,5.0,2,0,0,0.911
0.95,3,2.0,0.005,5.0,2,0,0,0.911
0.95,4,2.0,0.005,5.0,2,0,0,0.911
0.95,5,2.0,0.005,5.0,2,0,0,0.911
