initialTrust,seed,handoverCount,fastCount,fullCount,rejectCount,fastRatio,fullRatio,rejectRatio,avgHandoverDelay_ms,meanEventTrust
0.5,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,5,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,6,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.5,10,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.405
0.55,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,5,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,6,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.55,10,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.45499999999999996
0.6,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,5,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,6,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.6,10,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.505
0.65,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,5,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,6,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.65,10,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.5549999999999999
0.7,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,5,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,6,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.7,10,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.605
0.75,1,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
0.75,2,2.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,0.655
