nVehicles,nRsu,simTime,rsuCoverageRadius,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,txAllVehicles,enableReplayCheck,enableSigCheck,enableReports,enableBlockchain,enableTrustGate,attackMode,maliciousRate,txData,rxVehData,rxRsuData,expectedRx,pdr_norm,avgDelay_s,throughput_bps,replayDrops,sigDrops,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,malFast,malFull,malReject,honFast,honFull,honReject,seed,avgBlockLatency_ms
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,25784.0,4688.0,32340.0,0.797279,0.000922633,759081.0,0.0,6370.0,5390.0,3167.0,63.0,3128.0,0.0134921,0.712124,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.4921
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,26565.0,4830.0,32340.0,0.821429,0.000730645,782074.0,0.0,6370.0,5390.0,1470.0,43.0,1458.0,0.0201628,0.712134,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.1628
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,32340.0,5880.0,32340.0,1.0,0.000666013,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,21428.0,3896.0,32340.0,0.662585,0.00149966,630840.0,0.0,9061.0,7667.0,5817.0,71.0,5792.0,0.012,0.668175,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,20911.0,3802.0,32340.0,0.646599,0.000835243,615620.0,0.0,12503.0,10580.0,3601.0,70.0,3601.0,0.0122714,0.624253,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.2714
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,26444.0,4808.0,32340.0,0.817687,0.000729239,778511.0,0.0,6149.0,5203.0,1892.0,49.0,1884.0,0.0177755,0.712119,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,17.7755
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,26862.0,4884.0,32340.0,0.830612,0.000677549,790817.0,0.0,6370.0,5390.0,980.0,37.0,968.0,0.0241351,0.712141,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,24.1351
