nVehicles,nRsu,simTime,rsuCoverageRadius,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,txAllVehicles,enableReplayCheck,enableSigCheck,enableReports,enableBlockchain,enableTrustGate,attackMode,maliciousRate,txData,rxVehData,rxRsuData,expectedRx,pdr_norm,avgDelay_s,throughput_bps,replayDrops,sigDrops,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,malFast,malFull,malReject,honFast,honFull,honReject,seed,avgBlockLatency_ms
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,25784.0,4688.0,32340.0,0.797279,0.000922633,759081.0,0.0,6370.0,5390.0,3167.0,116.0,3167.0,0.00809483,0.712122,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.09483
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,26565.0,4830.0,32340.0,0.821429,0.000730645,782074.0,0.0,6370.0,5390.0,1470.0,86.0,1470.0,0.0134302,0.712122,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.4302
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,2940.0,32340.0,5880.0,32340.0,1.0,0.000666013,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,21428.0,3896.0,32340.0,0.662585,0.00149966,630840.0,0.0,9061.0,7667.0,5817.0,118.0,5817.0,0.0050339,0.668194,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0339
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,20911.0,3802.0,32340.0,0.646599,0.000835243,615620.0,0.0,12503.0,10580.0,3601.0,116.0,3590.0,0.00715517,0.624244,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.15517
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,26444.0,4808.0,32340.0,0.817687,0.000729239,778511.0,0.0,6149.0,5203.0,1892.0,98.0,1892.0,0.0115306,0.712123,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11.5306
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,2940.0,26862.0,4884.0,32340.0,0.830612,0.000677549,790817.0,0.0,6370.0,5390.0,980.0,70.0,980.0,0.0174857,0.712123,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17.4857
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,18569.0,3378.0,32340.0,0.574181,0.00172319,546671.0,0.0,11375.0,9625.0,6551.0,118.0,6551.0,0.005,0.624271,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,15037.0,2734.0,32340.0,0.464966,0.0010398,442689.0,0.0,18733.0,15851.0,5225.0,118.0,5225.0,0.00505932,0.53634,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.05932
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,32340.0,5880.0,32340.0,1.0,0.000666012,952090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,21516.0,3912.0,32340.0,0.665306,0.0015793,633431.0,0.0,8359.0,7073.0,5343.0,117.0,5318.0,0.00538462,0.668193,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.38462
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3,2940.0,26862.0,4884.0,32340.0,0.830612,0.000677549,790817.0,0.0,6370.0,5390.0,980.0,70.0,980.0,0.0174857,0.712123,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17.4857
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,10747.0,1954.0,32340.0,0.332313,0.00380809,316392.0,0.0,17407.0,14729.0,12206.0,118.0,12206.0,0.005,0.492459,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,12263.0,2229.0,32340.0,0.37919,0.00113787,361023.0,0.0,21203.0,17941.0,5857.0,118.0,5857.0,0.0050678,0.492441,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0678
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,26411.0,4802.0,32340.0,0.816667,0.000743007,777540.0,0.0,6370.0,5390.0,1960.0,100.0,1952.0,0.01131,0.712118,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11.31
12.0,2.0,25.0,300.0,100.0,64.0,200.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4,2940.0,18788.0,3416.0,32340.0,0.580952,0.00173899,553119.0,0.0,10556.0,8932.0,6045.0,117.0,6001.0,0.00511966,0.62426,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.11966
