nVehicles,speedTag,nRuns,nRsu_mean,simTime_mean,rsuCoverageRadius_mean,intervalMs_mean,payloadSize_mean,cryptoDelayUsTx_mean,cryptoDelayUsRx_mean,enableReplayAttack_mean,replayEveryMs_mean,maliciousRate_mean,txData_mean,rxData_mean,expectedRx_mean,replayDrops_mean,sigDrops_mean,pdr_raw_mean,pdr_norm_mean,avgDelay_s_mean,throughput_bps_mean,reportsSent_mean,reportsRxAtRsu_mean,blocks_mean,reportsCommitted_mean,avgBlockLatency_s_mean,avgLedgerTrust_mean,handoverCount_mean,avgHandoverDelay_s_mean,fastAuthCount_mean,fullAuthCount_mean,rejectCount_mean,trustFastThresh_mean,trustMinThresh_mean,fastAuthDelayMs_mean,fullAuthDelayMs_mean,nRsu_std,simTime_std,rsuCoverageRadius_std,intervalMs_std,payloadSize_std,cryptoDelayUsTx_std,cryptoDelayUsRx_std,enableReplayAttack_std,replayEveryMs_std,maliciousRate_std,txData_std,rxData_std,expectedRx_std,replayDrops_std,sigDrops_std,pdr_raw_std,pdr_norm_std,avgDelay_s_std,throughput_bps_std,reportsSent_std,reportsRxAtRsu_std,blocks_std,reportsCommitted_std,avgBlockLatency_s_std,avgLedgerTrust_std,handoverCount_std,avgHandoverDelay_s_std,fastAuthCount_std,fullAuthCount_std,rejectCount_std,trustFastThresh_std,trustMinThresh_std,fastAuthDelayMs_std,fullAuthDelayMs_std
10,8.3,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,1705.0,1755.0,704.0,440.0,8.74359,0.97151,0.000781102,60016.0,19.0,19.0,19.0,18.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,13.9,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,1705.0,1755.0,704.0,440.0,8.74359,0.97151,0.000781102,60016.0,19.0,19.0,19.0,18.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,22.2,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,1705.0,1755.0,704.0,440.0,8.74359,0.97151,0.000781102,60016.0,19.0,19.0,19.0,18.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8.3,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,4805.0,5655.0,1984.0,1240.0,24.641,0.849691,0.000772635,169136.0,19.0,19.0,19.0,18.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,13.9,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,4805.0,5655.0,1984.0,1240.0,24.641,0.849691,0.0007726440000000001,169136.0,19.0,19.0,19.0,18.0,0.05,0.8,0.6,0.008,0.6,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3416407864987245e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8944271909999159,0.010954451150103323,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0
30,22.2,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,4805.0,5655.0,1984.0,1240.0,24.641,0.849691,0.000772641,169136.0,19.0,19.0,19.0,18.0,0.05,0.8,0.4,0.004,0.4,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3416407864966033e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894427190999916,0.00894427190999916,0.894427190999916,0.0,0.0,0.0,0.0,0.0,0.0
50,8.3,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,7905.0,9555.0,3264.0,2040.0,40.5385,0.827316,0.0007796168,278256.0,19.0,19.0,19.0,18.0,0.05,0.8,0.2,0.004,0.2,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0249223595190536e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.00894427190999916,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0
50,13.9,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,7905.0,9555.0,3264.0,2040.0,40.5385,0.827316,0.0007796222000000001,278256.0,19.0,19.0,19.0,18.0,0.05,0.8,0.8,0.012,0.8,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.529940238805373e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8366600265340756,0.010954451150103323,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0
50,22.2,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,7905.0,9555.0,3264.0,2040.0,40.5385,0.827316,0.0007796204,278256.0,19.0,19.0,19.0,18.0,0.05,0.8,0.6,0.012,0.6,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929503017567202e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051661,0.010954451150103323,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0
80,8.3,5,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,12555.0,15405.0,5184.0,3240.0,64.3846,0.814995,0.0007704954,441936.0,19.0,19.0,19.0,18.0,0.05,0.8,1.2,0.016,1.2,0.0,0.0,0.7,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.669047011978836e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8366600265340756,0.00894427190999916,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0
