nVehicles,nRsu,simTime,rsuCoverageRadius,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,enableReplayAttack,replayEveryMs,maliciousRate,txData,rxData,expectedRx,replayDrops,sigDrops,pdr_raw,pdr_norm,avgDelay_s,throughput_bps,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,speedTag,seed,maliciousRate_cfg,trustFastThresh_cfg,trustMinThresh_cfg,runFile
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.1,195.0,1958.0,1755.0,704.0,187.0,10.041,1.0,0.000778126,68921.6,19.0,19.0,19.0,18.0,0.05,0.812,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,8.3,1,0.1,0.7,0.3,veh_10_spd_8.3_seed_1_mal_0.1_tf_0.7_tm_0.3.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.4,195.0,1276.0,1755.0,704.0,869.0,6.54359,0.727066,0.000774667,44915.2,19.0,19.0,19.0,18.0,0.05,0.788,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,8.3,1,0.4,0.7,0.3,veh_10_spd_8.3_seed_1_mal_0.4_tf_0.7_tm_0.3.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.0,195.0,2145.0,1755.0,704.0,0.0,11.0,1.0,0.000778443,75504.0,19.0,19.0,19.0,18.0,0.05,0.818,0.0,0.0,0.0,0.0,0.0,0.7,0.3,20.0,120.0,8.3,1,0.0,0.7,0.3,veh_10_spd_8.3_seed_1_mal_0.0_tf_0.7_tm_0.3.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.4,195.0,1276.0,1755.0,704.0,869.0,6.54359,0.727066,0.000774667,44915.2,19.0,19.0,19.0,18.0,0.05,0.788,0.0,0.0,0.0,0.0,0.0,0.6,0.3,20.0,120.0,8.3,1,0.4,0.6,0.3,veh_10_spd_8.3_seed_1_mal_0.4_tf_0.6_tm_0.3.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.4,195.0,1276.0,1755.0,704.0,869.0,6.54359,0.727066,0.000774667,44915.2,19.0,19.0,19.0,18.0,0.05,0.788,0.0,0.0,0.0,0.0,0.0,0.7,0.4,20.0,120.0,8.3,1,0.4,0.7,0.4,veh_10_spd_8.3_seed_1_mal_0.4_tf_0.7_tm_0.4.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.0,195.0,2145.0,1755.0,704.0,0.0,11.0,1.0,0.000778443,75504.0,19.0,19.0,19.0,18.0,0.05,0.818,0.0,0.0,0.0,0.0,0.0,0.6,0.4,20.0,120.0,8.3,1,0.0,0.6,0.4,veh_10_spd_8.3_seed_1_mal_0.0_tf_0.6_tm_0.4.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.4,195.0,1276.0,1755.0,704.0,869.0,6.54359,0.727066,0.000774667,44915.2,19.0,19.0,19.0,18.0,0.05,0.788,0.0,0.0,0.0,0.0,0.0,0.6,0.2,20.0,120.0,8.3,1,0.4,0.6,0.2,veh_10_spd_8.3_seed_1_mal_0.4_tf_0.6_tm_0.2.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,1705.0,1755.0,704.0,440.0,8.74359,0.97151,0.000781102,60016.0,19.0,19.0,19.0,18.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,20.0,120.0,8.3,1,0.2,0.8,0.2,veh_10_spd_8.3_seed_1_mal_0.2_tf_0.8_tm_0.2.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.0,195.0,2145.0,1755.0,704.0,0.0,11.0,1.0,0.000778443,75504.0,19.0,19.0,19.0,18.0,0.05,0.818,0.0,0.0,0.0,0.0,0.0,0.8,0.2,20.0,120.0,8.3,1,0.0,0.8,0.2,veh_10_spd_8.3_seed_1_mal_0.0_tf_0.8_tm_0.2.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,1705.0,1755.0,704.0,440.0,8.74359,0.97151,0.000781102,60016.0,19.0,19.0,19.0,18.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.4,20.0,120.0,8.3,1,0.2,0.6,0.4,veh_10_spd_8.3_seed_1_mal_0.2_tf_0.6_tm_0.4.csv
10,2.0,20.0,300.0,100.0,64.0,200.0,200.0,1.0,300.0,0.2,195.0,1705.0,1755.0,704.0,440.0,8.74359,0.97151,0.000781102,60016.0,19.0,19.0,19.0,18.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.3,20.0,120.0,8.3,1,0.2,0.6,0.3,veh_10_spd_8.3_seed_1_mal_0.2_tf_0.6_tm_0.3.csv
