nVehicles,sybilBurst,pdr_norm_mean,avgDelay_s_mean,throughput_bps_mean,avgLedgerTrust_mean,reportsCommitted_mean,avgBlockLatency_s_mean,malReject_mean,honReject_mean,handoverCount_mean,pdr_norm_std,avgDelay_s_std,throughput_bps_std,avgLedgerTrust_std,reportsCommitted_std,avgBlockLatency_s_std,malReject_std,honReject_std,handoverCount_std,nRuns,pdr_norm_ci95,avgDelay_s_ci95,throughput_bps_ci95,avgLedgerTrust_ci95,reportsCommitted_ci95,avgBlockLatency_s_ci95,malReject_ci95,honReject_ci95,handoverCount_ci95
30,1,0.5,0.000770467,199056.0,0.746667,184.0,0.0344286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2,0.333333,0.000768851,199056.0,0.72,3414.0,0.00639683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,5,0.166667,0.000768159,199056.0,0.64,5782.0,0.00537634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,10,0.0909091,0.000772221,199056.0,0.506667,8475.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1,0.5,0.000770513,336336.0,0.768,236.0,0.0281723999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2,0.333333,0.000770467,336336.0,0.752,3199.0,0.008375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,0.166667,0.000769267,336336.0,0.704,7103.0,0.00523656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,10,0.0909091,0.000772359,336336.0,0.624,7827.0,0.00504301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1,0.5,0.000773097,542256.0,0.78,95.0,0.0380435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2,0.333333,0.000769313,542256.0,0.77,2899.0,0.00760241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,5,0.166667,0.000770882,542256.0,0.74,4502.0,0.00613187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,10,0.0909091,0.000772359,542256.0,0.69,8296.0,0.00504301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
