baseline,nveh,speed,nVehicles,nRsu,simTime,rsuCoverageRadius,intervalMs,payloadSize,cryptoDelayUsTx,cryptoDelayUsRx,txAllVehicles,enableReplayCheck,enableSigCheck,enableReports,enableBlockchain,enableTrustGate,attackMode,maliciousRate,txData,rxVehData,rxRsuData,expectedRx,pdr_norm,avgDelay_s,throughput_bps,replayDrops,sigDrops,reportsSent,reportsRxAtRsu,blocks,reportsCommitted,avgBlockLatency_s,avgLedgerTrust,handoverCount,avgHandoverDelay_s,fastAuthCount,fullAuthCount,rejectCount,trustFastThresh,trustMinThresh,fastAuthDelayMs,fullAuthDelayMs,malFast,malFull,malReject,honFast,honFull,honReject,bc_queries,bc_updates,bc_cacheHits,bc_cacheMisses,bc_hitRate,bc_avgQms,bc_avgUms,priv_rotations,priv_linkAttempts,priv_linkSuccess,priv_linkSuccessRate,priv_linkSuccessRateExp,nVehicles_std,nRsu_std,simTime_std,rsuCoverageRadius_std,intervalMs_std,payloadSize_std,cryptoDelayUsTx_std,cryptoDelayUsRx_std,txAllVehicles_std,enableReplayCheck_std,enableSigCheck_std,enableReports_std,enableBlockchain_std,enableTrustGate_std,attackMode_std,maliciousRate_std,txData_std,rxVehData_std,rxRsuData_std,expectedRx_std,pdr_norm_std,avgDelay_s_std,throughput_bps_std,replayDrops_std,sigDrops_std,reportsSent_std,reportsRxAtRsu_std,blocks_std,reportsCommitted_std,avgBlockLatency_s_std,avgLedgerTrust_std,handoverCount_std,avgHandoverDelay_s_std,fastAuthCount_std,fullAuthCount_std,rejectCount_std,trustFastThresh_std,trustMinThresh_std,fastAuthDelayMs_std,fullAuthDelayMs_std,malFast_std,malFull_std,malReject_std,honFast_std,honFull_std,honReject_std,bc_queries_std,bc_updates_std,bc_cacheHits_std,bc_cacheMisses_std,bc_hitRate_std,bc_avgQms_std,bc_avgUms_std,priv_rotations_std,priv_linkAttempts_std,priv_linkSuccess_std,priv_linkSuccessRate_std,priv_linkSuccessRateExp_std,n,nVehicles_ci95,nRsu_ci95,simTime_ci95,rsuCoverageRadius_ci95,intervalMs_ci95,payloadSize_ci95,cryptoDelayUsTx_ci95,cryptoDelayUsRx_ci95,txAllVehicles_ci95,enableReplayCheck_ci95,enableSigCheck_ci95,enableReports_ci95,enableBlockchain_ci95,enableTrustGate_ci95,attackMode_ci95,maliciousRate_ci95,txData_ci95,rxVehData_ci95,rxRsuData_ci95,expectedRx_ci95,pdr_norm_ci95,avgDelay_s_ci95,throughput_bps_ci95,replayDrops_ci95,sigDrops_ci95,reportsSent_ci95,reportsRxAtRsu_ci95,blocks_ci95,reportsCommitted_ci95,avgBlockLatency_s_ci95,avgLedgerTrust_ci95,handoverCount_ci95,avgHandoverDelay_s_ci95,fastAuthCount_ci95,fullAuthCount_ci95,rejectCount_ci95,trustFastThresh_ci95,trustMinThresh_ci95,fastAuthDelayMs_ci95,fullAuthDelayMs_ci95,malFast_ci95,malFull_ci95,malReject_ci95,honFast_ci95,honFull_ci95,honReject_ci95,bc_queries_ci95,bc_updates_ci95,bc_cacheHits_ci95,bc_cacheMisses_ci95,bc_hitRate_ci95,bc_avgQms_ci95,bc_avgUms_ci95,priv_rotations_ci95,priv_linkAttempts_ci95,priv_linkSuccess_ci95,priv_linkSuccessRate_ci95,priv_linkSuccessRateExp_ci95
BC_TRUST,30,10,30.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,11455.0,0.0,0.0,0.0,4030.0,12245.0,5075.0,514.0,73.0,514.0,0.025726,0.7821890000000001,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,79.0,5448.0,552.0,0.908,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC_TRUST,30,20,30.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,11455.0,0.0,0.0,0.0,4030.0,12245.0,5075.0,514.0,73.0,514.0,0.025726,0.7821890000000001,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,79.0,5448.0,552.0,0.908,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC_TRUST,60,10,60.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,23305.0,0.0,0.0,0.0,7930.0,24095.0,10325.0,0.0,0.0,0.0,0.0,0.79455,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,79.0,10878.0,1122.0,0.9065,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BC_TRUST,60,20,60.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,23305.0,0.0,0.0,0.0,7930.0,24095.0,10325.0,0.0,0.0,0.0,0.0,0.79455,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,79.0,10878.0,1122.0,0.9065,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL,30,10,30.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,11455.0,0.0,0.0,0.0,4030.0,12245.0,5075.0,514.0,73.0,514.0,0.025726,0.7821890000000001,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,79.0,5280.0,720.0,0.88,12.0,18.0,420.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL,30,20,30.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,11455.0,0.0,0.0,0.0,4030.0,12245.0,5075.0,514.0,73.0,514.0,0.025726,0.7821890000000001,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,79.0,5280.0,720.0,0.88,12.0,18.0,420.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL,60,10,60.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,23305.0,0.0,0.0,0.0,7930.0,24095.0,10325.0,0.0,0.0,0.0,0.0,0.79455,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,79.0,10560.0,1440.0,0.88,12.0,18.0,840.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FULL,60,20,60.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,23305.0,0.0,0.0,0.0,7930.0,24095.0,10325.0,0.0,0.0,0.0,0.0,0.79455,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,79.0,10560.0,1440.0,0.88,12.0,18.0,840.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKI_ONLY,30,10,30.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,11455.0,0.0,0.0,0.0,4030.0,12245.0,5075.0,514.0,73.0,514.0,0.025726,0.8000000000000002,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKI_ONLY,30,20,30.0,2.0,40.0,300.0,100.0,64.0,200.0,200.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.20000000000000004,395.0,0.0,0.0,11455.0,0.0,0.0,0.0,4030.0,12245.0,5075.0,514.0,73.0,514.0,0.025726,0.8000000000000002,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
